iter	Passed	Remaining
0	0	45
1	0	41
2	1	39
3	1	36
4	1	36
5	2	37
6	2	36
7	3	36
8	3	35
9	3	35
10	4	34
11	4	35
12	5	36
13	5	35
14	6	35
15	6	35
16	7	35
17	7	35
18	8	34
19	8	34
20	8	33
21	9	33
22	9	32
23	10	32
24	10	31
25	11	31
26	11	31
27	11	30
28	12	30
29	12	29
30	13	29
31	13	28
32	13	28
33	14	28
34	14	27
35	15	27
36	16	27
37	16	26
38	17	26
39	17	26
40	17	25
41	18	24
42	18	24
43	19	24
44	19	23
45	19	23
46	20	22
47	20	22
48	20	21
49	21	21
50	21	21
51	22	20
52	22	20
53	23	19
54	23	19
55	23	18
56	24	18
57	24	17
58	24	17
59	25	16
60	25	16
61	25	15
62	26	15
63	26	15
64	27	14
65	27	14
66	28	13
67	28	13
68	28	12
69	29	12
70	30	12
71	30	11
72	31	11
73	31	11
74	31	10
75	32	10
76	32	9
77	33	9
78	33	8
79	33	8
80	34	8
81	34	7
82	35	7
83	35	6
84	35	6
85	36	5
86	36	5
87	37	5
88	37	4
89	37	4
90	38	3
91	38	3
92	39	2
93	39	2
94	39	2
95	40	1
96	40	1
97	40	0
98	41	0
99	41	0
